,,,,,,,,,,,,
Theme,Subtheme,Set #,Set Name,Age,Piece Count,Retirement Date,LEGO.com Link,,,,,"Notes: (Exclusivity, release, etc.)"
City,-,60485,Hot Rod,5+,81,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60486,EV Supercar,5+,109,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60487,Yellow Taxi,5+,122,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60488,Fries Food Truck,5+,216,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60498,Tractor,6+,204,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60500,The LEGO Van,6+,276,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60502,Airport with Airplane,8+,887,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60503,Coast Guard Helicopter,7+,551,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60504,Coast Guard Rescue Boat,7+,742,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60505,"Airplane, Service Truck & Hovercraft Remix",7+,990,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60480,Backhoe Loader,,301,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60492,Passenger Jet,4+,118,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60494,Dump Truck & Front End Loader,,1132,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60497,Drive-Through Car Wash,,583,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60509,Harbour Freight Train,,803,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60511,Vintage Steam Train,,575,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60512,Mountain Bike Adventure Van,,260,"Dec 31, 2027",US,CA,UK,AU,MX,
Classic,- ,11025,Blue Baseplate,4+,1,"Jul 31, 2026",US,CA,UK,AU,MX,
Classic,-,11043,Cool Creative Box,5+,510,"Jul 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to Target
Classic,-,11044,Creative Build-and-Play Box,5+,750,"Jul 31, 2026",US,CA,UK,AU,MX,
Classic,-,11040,Magical Transparent Box,5+,340,"Dec 31, 2026",US,CA,UK,AU,MX,
Classic,-,11036,Creative Vehicles,5+,900,"Jul 31, 2027",US,CA,UK,AU,MX,
Classic,-,11039,Creative Food Friends,4+,150,"Jul 31, 2027",US,CA,UK,AU,MX,
Classic,- ,10713,Creative Suitcase,4-99,213,"Dec 31, 2027",US,CA,UK,AU,MX,
Classic,- ,11023,Green Baseplate,4+,1,"Dec 31, 2027",US,CA,UK,AU,MX,
Classic,- ,11024,Gray Baseplate,4+,1,"Dec 31, 2027",US,CA,UK,AU,MX,
Classic,- ,11026,White Baseplate,4+,1,"Dec 31, 2027",US,CA,UK,AU,MX,
Classic,-,11045,Creative Colourful Bricks,5+,820,"Dec 31, 2027",US,CA,UK,AU,MX,
Classic,-,11041,Creative Dinosaurs,5+,450,"Dec 31, 2028",US,CA,UK,AU,MX,
Creator,3-in-1,31145,Red Dragon,6+,149,"Jul 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31149,Flowers in Watering Can,8+,420,"Jul 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31150,Wild Safari Animals,9+,780,"Jul 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31151,T. Rex,9+,626,"Jul 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31152,Space Astronaut,9+,647,"Jul 31, 2026",US,CA,UK,AU,MX,
